Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
P02458,1.75E-06,Q99996-2,1.97E-05,,,Q13188-2,0.00012159,O43502,0.015539715,,,Q14186,0.0000139,,,,,,,,,,
Q96PE3-3,1.75E-06,P04085,1.97E-05,,,O00311,0.00012163,Q13103,0.015722942,,,Q92954-3,0.0000139,,,,,,,,,,
Q9BSE4,0.278431627,Q14145,1.97E-05,,,Q8IVH4,0.000122404,P49759,0.01583533,,,Q9Y6M1,0.0000139,,,,,,,,,,
Q7Z602,1.76E-06,Q96Q05,1.97E-05,,,P20962,0.000123382,Q9Y679-2,0.015848032,,,Q8TEV9,0.0000139,,,,,,,,,,
E5RIL0,0.2760037,Q96H79,0.000135774,,,Q9NQ11,0.000123557,H0Y459,0.01600492,,,Q03135,0.0000139,,,,,,,,,,
Q96LC9,1.81E-06,O14625,1.98E-05,,,P30711,0.000123591,O94967,0.016102473,,,Q99576,0.000014,,,,,,,,,,
Q9BXB7,1.82E-06,E7ETA6,1.98E-05,,,O75506,0.000123664,Q9BZ72,0.016456194,,,Q7Z7K6-3,0.000014,,,,,,,,,,
Q9NXG6-3,1.83E-06,O76036,1.98E-05,,,P18428,0.000123744,P05161,0.01662349,,,Q9BYX4,0.000014,,,,,,,,,,
P81877-4,1.83E-06,Q05513-3,1.98E-05,,,Q8TBF5,0.000123982,A0A087WXW5,0.016715447,,,Q5SZG2,0.0000141,,,,,,,,,,
P08185,1.84E-06,O14657,0.000108496,,,O43709,0.000123989,Q7Z3B1,0.016861114,,,Q96BD8,0.0000141,,,,,,,,,,
Q14839,0.395025759,P23142,1.99E-05,,,Q15366-2,0.000123995,Q9BYE7,0.017131687,,,P48059-2,0.0000142,,,,,,,,,,
P30453,0.334533361,Q7L4P6,1.99E-05,,,P54819,0.000124114,Q147X3,0.017159151,,,Q96LC9,0.0000142,,,,,,,,,,
E3W994,1.86E-06,Q13370,1.99E-05,,,Q9P287-2,0.000124343,P51687,0.017618606,,,P0CG13,0.0000142,,,,,,,,,,
Q96RD7,0.290476781,Q9UBK7-2,1.99E-05,,,A0A0C4DGZ0,0.000124614,Q96CX3,0.017637624,,,Q9HBU6,0.0000142,,,,,,,,,,
Q8WXE9,1.93E-06,Q92805,2.00E-05,,,Q9BY77-2,0.000124618,Q13277,0.01776936,,,Q9P0T4,0.0000143,,,,,,,,,,
H7C2F2,0.293086554,G3V394,2.00E-05,,,Q13415,0.000124624,Q9ULH7,0.017770992,,,Q9UBV7,0.0000143,,,,,,,,,,
Q15796-2,1.95E-06,Q6DHV7,2.00E-05,,,Q96DG6,0.000124659,Q9NVH0,0.018023286,,,P02042,0.0000143,,,,,,,,,,
Q9H8N7,1.96E-06,Q92478,2.15E-05,,,Q9Y6U3-2,0.000125388,Q86UK7,0.018038351,,,Q9P2N6-3,0.0000143,,,,,,,,,,
Q96CM8-2,1.96E-06,Q13541,0.000277225,,,Q96AJ9-1,0.000125551,Q9BXH1,0.018047196,,,Q9HB58-3,0.0000144,,,,,,,,,,
Q5T8I3,1.97E-06,P36980-2,2.00E-05,,,Q8IYL2,0.000125606,Q9HCJ0-2,0.018196559,,,Q8N9M1-2,0.0000144,,,,,,,,,,
Q13239,0.287359029,O00154-4,0.002833513,,,Q8TEQ8,0.00012561,Q5VST6,0.018248904,,,Q8N5L8,0.0000144,,,,,,,,,,
Q9Y2I8-2,1.99E-06,K7EJH0,0.000149442,,,Q8IZK6-2,0.00012561,Q9Y2X9,0.018286898,,,Q96GD4,0.0000144,,,,,,,,,,
C9JWG0,2.00E-06,Q4VX76,2.01E-05,,,F5H0B0,0.000125678,Q9H6S1,0.018328703,,,Q9BRT8,0.0000145,,,,,,,,,,
P13761,2.00E-06,Q9UN36-2,2.01E-05,,,Q5SVS4,0.000126045,A1A5D9,0.019019335,,,H0Y4E8,0.0000146,,,,,,,,,,
Q14155-1,0.356067019,Q9Y286,2.01E-05,,,O75152,0.000126111,Q9BUZ4,0.019108896,,,F8W8G5,0.0000146,,,,,,,,,,
Q9BSF0,2.02E-06,A0A0D9SG88,2.01E-05,,,Q969T7,0.000126112,O15182,0.019178167,,,C9J3I9,0.0000147,,,,,,,,,,
Q9BY42,0.226633412,P01714,2.02E-05,,,O43699,0.000126247,E0CX11,0.019453632,,,H0YI08,0.0000147,,,,,,,,,,
C9J406,0.322380331,O43505,2.02E-05,,,Q96L58,0.000126345,Q5TC82,0.019558794,,,A0A087WYR4,0.0000147,,,,,,,,,,
H7C561,2.04E-06,O00139-2,2.02E-05,,,A0A0A0MQU4,0.000126586,B7ZL14,0.019690925,,,O43318-2,0.0000147,,,,,,,,,,
Q96HL8,0.28389695,Q96PD4,2.02E-05,,,A0A075B6N2,0.000126608,P31944,0.019870112,,,A0A087WTW0,0.0000147,,,,,,,,,,
Q9NRY6,0.300083701,Q13268,2.02E-05,,,Q9NTG7,0.000126657,Q9H857-2,0.020115575,,,P13196,0.0000147,,,,,,,,,,
Q7Z406,0.36956725,A0A0B4J1V6,2.03E-05,,,P20226,0.000127374,Q9H6E5,0.020119347,,,Q53S58,0.0000147,,,,,,,,,,
P04798,2.08E-06,Q96MH6,9.20E-05,,,Q6ZWK4,0.000128004,F8W8Y4,0.020144532,,,P32322,0.0000147,,,,,,,,,,
Q5T0H9,2.09E-06,P48730,2.03E-05,,,E7EVJ5,0.000128221,Q8N9M5,0.020469972,,,Q9UHX1-6,0.0000148,,,,,,,,,,
Q96RI0,2.10E-06,A2AEA2,2.03E-05,,,A0A096LPI6,0.000128266,Q8N3J3,0.020611305,,,P23469-3,0.0000149,,,,,,,,,,
Q8N9A8,2.10E-06,Q9P2W1,2.03E-05,,,Q14DL9,0.000128363,O96028,0.02062767,,,Q9NUT2-4,0.0000149,,,,,,,,,,
Q9NQR1,2.11E-06,Q9UHQ4,2.03E-05,,,P36551,0.00012857,Q9H6K1,0.020824739,,,A0A0C4DGJ8,0.0000149,,,,,,,,,,
Q6GPH6,2.12E-06,P01042-2,2.03E-05,,,P34096,0.000128792,Q9UKT7,0.020831647,,,Q96QA5,0.0000149,,,,,,,,,,
D6RAC1,2.13E-06,M0R019,2.04E-05,,,Q14526-2,0.000128817,P50542,0.020894838,,,D3DSM0,0.0000149,,,,,,,,,,
P08069,0.282349777,A0A0A0MR85,2.04E-05,,,Q9Y3B6,0.000128868,O95237,0.020900828,,,H0Y2S9,0.000015,,,,,,,,,,
Q13045-2,0.208465066,A0A067XG54,2.04E-05,,,A0A0B4J2G9,0.000128901,X6R3L3,0.020994647,,,O94966-6,0.000015,,,,,,,,,,
O95944,2.14E-06,P18627,2.04E-05,,,O95059,0.000129034,Q9H270,0.02112883,,,G5E972,0.000015,,,,,,,,,,
Q96LT7,2.18E-06,R4GN35,2.04E-05,,,Q9NXR8,0.000129101,Q8TE82,0.021182284,,,Q9BWT6,0.000015,,,,,,,,,,
Q9ULL4-2,2.19E-06,P01613,2.04E-05,,,Q8WV19,0.000129484,Q5T8P6-2,0.021192582,,,Q92664,0.000015,,,,,,,,,,
O75570,0.305058104,Q9UHA2,2.05E-05,,,P02774,0.000129704,Q8IYB1,0.021203454,,,P55011,0.0000151,,,,,,,,,,
F2Z2R9,2.23E-06,Q8TF40,2.05E-05,,,Q9ULG6-5,0.000130274,P55008-2,0.021255468,,,Q96JT2,0.0000151,,,,,,,,,,
P0DJI8,0.334501323,Q8N511,2.05E-05,,,A8MT69,0.000130588,Q15014,0.021627619,,,B2RA97,0.0000151,,,,,,,,,,
S4R400,2.27E-06,Q6ZNC8,2.06E-05,,,Q9H467,0.00013086,P78364,0.021795055,,,Q96FX2,0.0000151,,,,,,,,,,
P48061,2.27E-06,Q9HB40,3.49E-05,,,P55957-2,0.000130872,Q5MIZ7,0.021902587,,,Q6ZNC8,0.0000151,,,,,,,,,,
Q9BY77,0.370575185,P01877,2.06E-05,,,H3BU88,0.000131512,Q9BQQ3,0.022039434,,,Q13303-2,0.0000151,,,,,,,,,,
K7ENL9,2.30E-06,P78536,2.06E-05,,,P08708,0.000131586,O60427,0.022160566,,,P58335-4,0.0000151,,,,,,,,,,
Q9P2X0-2,2.30E-06,Q9NY59,2.07E-05,,,Q6ZSJ8,0.000131602,A6NI72,0.022305814,,,P15529-4,0.0000152,,,,,,,,,,
E7ETB3,2.31E-06,P21941,2.07E-05,,,P19801,0.000131678,Q9UPR3,0.02233519,,,O94864,0.0000152,,,,,,,,,,
A0A0A6YYC5,2.32E-06,Q9NYF3,2.07E-05,,,Q9NX07,0.00013168,Q6JQN1,0.022368659,,,Q5T013,0.0000152,,,,,,,,,,
Q6ZTN6-3,0.312923055,Q9BPX7,2.07E-05,,,Q5VZK9,0.00013212,Q05DH4,0.022761624,,,P31994-2,0.0000153,,,,,,,,,,
Q9P126,2.33E-06,Q9NX62,2.07E-05,,,Q96SZ6,0.00013277,A0A0B4J245,0.022958501,,,Q9BZD4,0.0000155,,,,,,,,,,
J3KNW4,2.36E-06,A0A087WZ08,2.07E-05,,,Q9BRT8,0.00013278,J3KN67,0.023246508,,,P24278,0.0000155,,,,,,,,,,
Q9HC73,2.36E-06,Q5T0F9-2,2.07E-05,,,Q07912,0.000132846,Q86V48,0.023472024,,,O75829,0.0000155,,,,,,,,,,
P07711,0.285601017,A0A024RAC6,4.55E-05,,,Q8N567,0.000133212,B3KQ07,0.023695807,,,Q5UCC4-2,0.0000155,,,,,,,,,,
A0A075B6S3,2.38E-06,Q9BRP1,2.08E-05,,,Q01432-5,0.000133458,O60941,0.023834565,,,Q5T8D3-3,0.0000155,,,,,,,,,,
Q9H6Z4-2,0.241167763,A0A0C4DH25,2.08E-05,,,Q8NF50-3,0.000133538,Q6P3X3,0.024221004,,,Q15642-2,0.0000156,,,,,,,,,,
O75324,2.39E-06,P54198,2.08E-05,,,Q9Y275,0.000133925,Q5VTE6,0.024261369,,,Q9NP50,0.0000156,,,,,,,,,,
O95415,2.42E-06,Q96B23-2,0.00018909,,,Q9UKQ2,0.0001347,Q8TET4,0.024835139,,,O94967,0.0000156,,,,,,,,,,
Q9NQC3-3,2.43E-06,O60449-2,2.08E-05,,,Q8TB45,0.000135032,Q96P63-2,0.02483779,,,Q9BSM1,0.0000156,,,,,,,,,,
P20039,2.45E-06,A0A0D9SEM9,0.000540398,,,Q92539,0.000135108,Q15361,0.024914683,,,Q8WWK9,0.0000157,,,,,,,,,,
O76094,0.383257489,P55851,2.10E-05,,,Q13085,0.000135394,Q9NV35,0.025393882,,,P05534,0.0000157,,,,,,,,,,
Q86WW8,2.47E-06,Q8NHV4-3,2.10E-05,,,P43250-2,0.000135685,Q9HD42,0.026338019,,,O00400,0.0000157,,,,,,,,,,
Q9Y2H2,0.301403247,F5H0B0,2.11E-05,,,H7C0N4,0.000135868,P31994,0.026463625,,,G3V2W1,0.0000157,,,,,,,,,,
Q15722,2.50E-06,Q03426,2.11E-05,,,O43414,0.000136138,Q86VQ1,0.026506016,,,D6R968,0.0000157,,,,,,,,,,
P00568,2.50E-06,Q6ZUM4,2.11E-05,,,I3L1I5,0.000136366,P01604,0.026743079,,,O75594,0.0000158,,,,,,,,,,
A0A0A0MT72,0.00041352,Q9HC36,2.11E-05,,,Q8N5U6,0.000136537,Q96SW2,0.026940161,,,J3KNE0,0.0000158,,,,,,,,,,
P18510-2,2.51E-06,Q13258,2.12E-05,,,Q9Y3P4,0.000136739,Q99856,0.026984247,,,O60504-2,0.0000158,,,,,,,,,,
Q5T9S5,0.292293063,A0A0C4DH38,2.12E-05,,,P84103-2,0.000137715,Q06413-2,0.02741662,,,Q13422-2,0.0000159,,,,,,,,,,
G5E972,0.264719597,Q69YL0,3.08E-05,,,Q6P1R4,0.000138242,P41273,0.027443589,,,Q99942,0.0000159,,,,,,,,,,
Q9Y463,2.53E-06,P53350,2.12E-05,,,P56181-2,0.000138472,Q9BYC5,0.027532705,,,Q9BY15,0.0000159,,,,,,,,,,
P14902,2.56E-06,Q06609,2.12E-05,,,Q05BQ5,0.000138741,Q99941,0.027780704,,,Q14161-5,0.000016,,,,,,,,,,
Q15572,0.301259234,Q9NSI2,2.12E-05,,,Q14CB8,0.00013894,P30460,0.027880474,,,P40337-3,0.0000161,,,,,,,,,,
Q6PH81,0.270753805,Q9H5I1,2.12E-05,,,O95450,0.000138959,P98198,0.027931965,,,Q9UPN4,0.0000161,,,,,,,,,,
Q5T8U3,2.57E-06,Q9BVM2,2.13E-05,,,P15509,0.000139557,Q9UKG9,0.028234247,,,Q9HAD4,0.0000161,,,,,,,,,,
Q9BTT0-3,2.58E-06,Q14691,2.14E-05,,,Q8IVT5,0.00013966,Q92585,0.028306398,,,O95297,0.0000161,,,,,,,,,,
Q9UMX3,2.58E-06,O95340,2.15E-05,,,P23588,0.000140197,E7EN19,0.028391932,,,P15428,0.0000163,,,,,,,,,,
Q96D71-2,2.59E-06,Q13905-4,2.15E-05,,,A0A0A6YYJ7,0.000140401,Q8N8U2,0.028510069,,,P19174-2,0.0000164,,,,,,,,,,
P14770,2.61E-06,P27469,2.15E-05,,,O14625,0.000140544,Q92830,0.028993092,,,Q6UWP2,0.0000166,,,,,,,,,,
P43003,2.61E-06,P51957,2.15E-05,,,Q07108,0.000140889,P48723,0.029242276,,,Q8N8Y2,0.0000166,,,,,,,,,,
P54108,2.62E-06,A0A087WSY6,2.15E-05,,,Q8N8U2,0.000141146,J3KR13,0.029326085,,,Q9UBF8,0.0000166,,,,,,,,,,
J3KQ34,2.63E-06,O75787,2.16E-05,,,Q9Y651,0.000141323,P22314-2,0.029600586,,,O14772,0.0000167,,,,,,,,,,
L0R819,2.65E-06,Q9BRX8-2,2.16E-05,,,Q9BWU1,0.000141596,V9GZ54,0.02963078,,,Q9UK53,0.0000167,,,,,,,,,,
Q8N5Z5,2.67E-06,A0A5B9,2.16E-05,,,Q08AG7,0.000141977,O75554,0.029776765,,,Q68CZ6,0.0000167,,,,,,,,,,
Q9UMR7,2.68E-06,Q96RF0-2,2.16E-05,,,Q15910,0.000142096,Q99808,0.03032038,,,Q9BW66,0.0000168,,,,,,,,,,
E9PD09,2.69E-06,Q8WVX3,2.17E-05,,,A0A0C4DH31,0.000142548,Q8WTS6,0.030557902,,,P25311,0.0000168,,,,,,,,,,
H0YKT8,2.72E-06,P19484,2.17E-05,,,O15318,0.000142766,A0A087WZW8,0.030605175,,,Q13428-3,0.0000168,,,,,,,,,,
O95644-8,2.73E-06,M0R2B8,2.17E-05,,,P67936,0.000142966,Q8WUA8,0.031770832,,,P58557,0.0000169,,,,,,,,,,
Q8NBP0,2.73E-06,Q86WR7,2.17E-05,,,Q9NRP4,0.000143467,Q9NRX5,0.032186159,,,P13591,0.000017,,,,,,,,,,
P21810,2.74E-06,Q03154,2.17E-05,,,Q9NXK8,0.00014383,Q8N1G0,0.032205939,,,Q8NG06,0.000017,,,,,,,,,,
O43820-2,2.75E-06,O43314,2.17E-05,,,H0Y6A0,0.000143838,Q8WVQ1,0.032417041,,,Q16851-2,0.0000171,,,,,,,,,,
Q5T2D2,2.75E-06,O15204-2,2.17E-05,,,Q13227,0.000143987,Q13308-6,0.03265037,,,Q9UKV0-6,0.0000171,,,,,,,,,,
Q9BRA0,2.76E-06,O94910,2.17E-05,,,E9PSG1,0.000144125,E9PJD7,0.032712643,,,P11597,0.0000171,,,,,,,,,,
O14974-4,2.76E-06,Q9BQP7,2.18E-05,,,O14787-2,0.000144207,P51530,0.033347349,,,Q6ZNK6,0.0000172,,,,,,,,,,
P09237,2.78E-06,Q8WV19,0.000111754,,,Q96ME1-4,0.000144293,Q8N3A8,0.033622292,,,Q9ULL1,0.0000172,,,,,,,,,,
A0A0A0MRI1,0.00017096,P09884,2.18E-05,,,A0A075B6R6,0.000144403,Q96MG8,0.034212312,,,Q495W5-2,0.0000172,,,,,,,,,,
Q16527,2.78E-06,O75319,2.18E-05,,,Q03591,0.000144953,B2RA97,0.035206997,,,O95394,0.0000173,,,,,,,,,,
Q9BRR9-2,2.79E-06,Q96HV5,2.19E-05,,,Q7Z624,0.000144957,Q9Y6R4,0.035230105,,,P20851,0.0000174,,,,,,,,,,
P11310,0.384137498,Q8IXI2-3,2.19E-05,,,P10645,0.000145058,Q9BZX2,0.035500854,,,P22304,0.0000174,,,,,,,,,,
P25105,2.84E-06,Q16626,2.19E-05,,,L0R819,0.000145503,Q96RG2,0.035741091,,,E7ESA6,0.0000174,,,,,,,,,,
Q8N0V3,0.291845035,Q9Y2J2-2,2.20E-05,,,P54762-5,0.000145549,Q86US8,0.036712465,,,H3BNA2,0.0000174,,,,,,,,,,
B1AHC4,2.86E-06,E9PMV2,2.20E-05,,,Q9UK53,0.000145725,O75182-2,0.037186987,,,P35609-2,0.0000175,,,,,,,,,,
Q01892,2.93E-06,A0A087WUW5,2.20E-05,,,P49419-2,0.000146887,Q92667,0.037335279,,,P42892-2,0.0000176,,,,,,,,,,
Q6UWJ1,2.93E-06,Q15642-2,2.20E-05,,,Q6PJF5-2,0.000147177,Q96EC8,0.037927632,,,Q9NZC7,0.0000176,,,,,,,,,,
P01780,2.94E-06,Q9H6Q4-3,2.20E-05,,,P03950,0.000147696,Q9H7J1,0.039303288,,,P25090,0.0000176,,,,,,,,,,
Q06413-6,2.95E-06,O15049,2.20E-05,,,Q9H714,0.000148046,Q8N543,0.040061942,,,O95445,0.0000176,,,,,,,,,,
P45974-2,0.269180407,Q9UNS1,2.21E-05,,,Q96IG2,0.000148152,O95229-2,0.040182348,,,O75716,0.0000176,,,,,,,,,,
B1AKZ5,2.96E-06,G5E9P4,0.000131228,,,Q8TDF6,0.000149005,P41229,0.040680385,,,Q96AH8,0.0000177,,,,,,,,,,
P32246,2.96E-06,Q6NXE6,2.21E-05,,,P78383-2,0.000149169,P23141-3,0.041445756,,,Q96GZ6-7,0.0000177,,,,,,,,,,
Q5BKX5,0.279053588,P09493-10,2.21E-05,,,P17936,0.000149205,O00398,0.044519373,,,Q15014,0.0000178,,,,,,,,,,
O43175,0.392224681,E9PJN9,2.21E-05,,,Q9UQR0,0.000149272,Q8N3J5,0.045854257,,,Q9BV23,0.0000178,,,,,,,,,,
Q9Y450-2,0.29872758,Q9UH62,2.22E-05,,,Q13137-4,0.00014965,Q8ND04,0.045928002,,,Q9GZU7-2,0.0000178,,,,,,,,,,
Q15485,2.98E-06,P14598,2.22E-05,,,Q9NQG7-3,0.000149756,P36402-9,0.047972738,,,Q32NC0,0.0000178,,,,,,,,,,
P26885,0.360545563,O95197-3,2.22E-05,,,M0QZR4,0.000150264,Q9Y4P8-2,0.049595259,,,Q7Z7F0,0.0000178,,,,,,,,,,
Q9NYJ1,0.328810456,A0A0A0MR88,1.11E-05,,,P53367-2,0.000150273,O95425-4,0.04962883,,,P04070,0.0000179,,,,,,,,,,
O15389,3.01E-06,Q9Y2C9,2.23E-05,,,P98175-2,0.000150362,H3BNA2,0.049815766,,,Q6PD74,0.0000179,,,,,,,,,,
Q29974,3.03E-06,H0Y624,2.23E-05,,,O43315,0.000150496,Q86YW0,0.051020138,,,Q9HC77,0.0000179,,,,,,,,,,
P08319,3.04E-06,Q96E14,2.24E-05,,,Q92503,0.000150833,P15408,0.05116365,,,O60669,0.000018,,,,,,,,,,
H7BZB3,3.04E-06,Q5TC12,2.24E-05,,,Q14978-2,0.000151105,P54725-3,0.052775809,,,Q58FG1,0.0000181,,,,,,,,,,
Q9UPN3-3,0.279198533,Q7Z739,2.25E-05,,,G3V394,0.000151184,O15287,0.052959827,,,Q9C002,0.0000181,,,,,,,,,,
A6NEY8,3.07E-06,Q15038,2.25E-05,,,P56377,0.000151246,P45983-3,0.05329582,,,X6REB3,0.0000182,,,,,,,,,,
Q8IV20,0.27376343,Q29974,2.25E-05,,,Q9NY59,0.000151334,P53794,0.054089472,,,P15056,0.0000182,,,,,,,,,,
A0A087WZP9,3.11E-06,P11473-2,2.25E-05,,,Q9BXF6,0.000151997,Q9NYI0,0.054119959,,,Q9NQA3,0.0000182,,,,,,,,,,
A0A087X0D5,0.000411786,P01344,2.25E-05,,,Q92543,0.000152024,Q8N465,0.056343092,,,Q9P2D0,0.0000183,,,,,,,,,,
Q5SWX3,0.001232843,K7EKH3,2.26E-05,,,P52739,0.000152061,Q9H633,0.056988147,,,P25445,0.0000183,,,,,,,,,,
Q8N6G5,3.13E-06,P08637,2.26E-05,,,Q92784,0.000152069,Q8N9I9,0.05932326,,,P39880-3,0.0000183,,,,,,,,,,
P50591,3.14E-06,P49427,2.26E-05,,,O95235,0.000152296,P13591,0.063864644,,,Q96SQ9,0.0000183,,,,,,,,,,
Q96QS1,3.15E-06,Q9H777,2.26E-05,,,Q8TD84,0.000152359,Q96KG7,0.071023069,,,F5H1F7,0.0000184,,,,,,,,,,
Q6ZV29,3.15E-06,Q9NZT1,6.97E-05,,,P49841-2,0.000152429,P84157-2,0.074174101,,,Q8TAD7,0.0000184,,,,,,,,,,
O00468-6,3.17E-06,Q5TBC7,2.27E-05,,,P27635,0.000152464,A0A087WU28,0.080970686,,,Q17RY0,0.0000184,,,,,,,,,,
Q8IX15,3.17E-06,B5MDU6,2.27E-05,,,P24071,0.000152517,P49863,0.081653327,,,Q8IWA5-3,0.0000185,,,,,,,,,,
O14639-6,3.17E-06,O75398,2.27E-05,,,Q96E22,0.00015253,Q6NTF7,0.087981137,,,Q9BZX2,0.0000185,,,,,,,,,,
Q7Z2W4-3,3.19E-06,Q96B01,2.27E-05,,,O15235,0.000152756,Q6GQQ9,0.091589727,,,Q96DE5,0.0000186,,,,,,,,,,
Q96G01,3.19E-06,P45983-3,2.28E-05,,,O75110,0.000152889,A8MQB8,0.094865664,,,B8ZZS0,0.0000186,,,,,,,,,,
O94985-2,3.24E-06,P0CG13,2.28E-05,,,Q53SF7-4,0.000152971,Q9UBX1,0.096,,,P11831,0.0000188,,,,,,,,,,
Q96MW7,3.24E-06,P61129,2.29E-05,,,P08397,0.000153111,Q6PML9,0.102101963,,,Q969W3-2,0.0000188,,,,,,,,,,
Q9NZC7,3.24E-06,Q9BSI4-2,2.29E-05,,,F5GZQ4,0.000153196,Q14964,0.102347069,,,Q96EB1,0.0000188,,,,,,,,,,
P62633-4,0.316980996,O43791,2.30E-05,,,O95873,0.000153199,Q93100-4,0.11265014,,,Q6PJF5-2,0.0000188,,,,,,,,,,
O75027-2,3.31E-06,Q15633,2.30E-05,,,O14617-5,0.00015369,H3BSY2,0.115243691,,,P21941,0.0000188,,,,,,,,,,
Q96AE4-2,0.311446669,Q93088,2.30E-05,,,Q8N228,0.000154188,Q96NA2,0.124463166,,,Q9NVV9,0.0000189,,,,,,,,,,
Q8IUI4,3.32E-06,E7ERI8,4.87E-05,,,Q8IW75,0.000154379,O60583,0.145024981,,,Q8IY34,0.0000189,,,,,,,,,,
Q8WWI1,3.33E-06,Q8IUH3-3,2.31E-05,,,Q96L08,0.000154454,Q66K89,0.149346928,,,Q7Z3U7-6,0.0000191,,,,,,,,,,
O15551,3.34E-06,Q9BRT8,2.31E-05,,,Q9C0F1,0.000154759,Q8TBZ3,0.150406577,,,P49419-2,0.0000191,,,,,,,,,,
Q13568-3,3.34E-06,A0A075B6J0,2.31E-05,,,O00716,0.000154896,Q92545,0.173824114,,,Q7L099-3,0.0000193,,,,,,,,,,
O43493,0.291345024,V9GYT7,2.31E-05,,,Q96T83,0.000155191,Q9Y6X3,0.246222789,,,Q15773,0.0000193,,,,,,,,,,
I3L2J0,0.299644221,D6RA24,2.31E-05,,,H0Y624,0.000155686,P15559,0.332499618,,,Q8WWI1,0.0000193,,,,,,,,,,
Q5SRI9,3.38E-06,P40763-2,2.31E-05,,,C9J9V6,0.000155768,Q01543-3,0.350366174,,,P09493-8,0.0000193,,,,,,,,,,
Q8TAU3-2,3.40E-06,Q86UY6,2.32E-05,,,Q9UGY1,0.000155822,Q969W3-2,0.483596227,,,P19793-2,0.0000194,,,,,,,,,,
P30533,0.326997089,Q9BPY8,0.000165851,,,P57081,0.000156198,Q5ST30,0.685960617,,,Q5VTE6,0.0000195,,,,,,,,,,
Q9UIL1,0.335397456,A0A0B4J270,2.33E-05,,,Q9NR61,0.000156414,,,,,Q15170-2,0.0000195,,,,,,,,,,
Q9NUT2-4,3.41E-06,Q30201,2.33E-05,,,C9JNW5,0.0001576,,,,,Q13371,0.0000195,,,,,,,,,,
Q13519,3.42E-06,G3V3B2,2.33E-05,,,O75509,0.000157678,,,,,P30479,0.0000196,,,,,,,,,,
Q5JR01,3.42E-06,F5GYS3,2.33E-05,,,Q96FC9-2,0.000158363,,,,,Q06828,0.0000196,,,,,,,,,,
Q9UJG1,3.42E-06,Q5T6F2,2.33E-05,,,Q96NT5,0.000158834,,,,,E9PHI4,0.0000196,,,,,,,,,,
F5H5A1,3.44E-06,Q9GZS1-2,2.34E-05,,,Q9UGU5,0.000159047,,,,,P05019,0.0000196,,,,,,,,,,
Q9NR28,0.364163767,Q96J02,2.34E-05,,,Q8IV38,0.000159941,,,,,Q9BYB4,0.0000197,,,,,,,,,,
A0A087WW07,3.46E-06,O95260-2,0.000632979,,,O75369-8,0.000160227,,,,,O95229-2,0.0000197,,,,,,,,,,
P53365,0.312806207,Q9Y248,2.34E-05,,,Q7L099-3,0.000160238,,,,,Q9H5Q4,0.0000198,,,,,,,,,,
H0Y3N9,3.52E-06,O76096,0.000325365,,,Q8IZD2-5,0.000160986,,,,,Q96CX3,0.0000199,,,,,,,,,,
Q9HBF4,0.288876677,Q8WXB1,2.36E-05,,,D6R9B6,0.000161508,,,,,Q9ULP9,0.0000199,,,,,,,,,,
Q96P20,3.52E-06,Q9H3Q1,2.37E-05,,,P00450,0.000161846,,,,,Q8NCJ5,0.0000199,,,,,,,,,,
P19652,0.321559271,Q96HR8-2,2.37E-05,,,Q53H47,0.000162153,,,,,Q08499-6,0.0000199,,,,,,,,,,
Q8NBI3,3.56E-06,Q8IWZ3-6,2.37E-05,,,Q9Y5J9,0.000162452,,,,,P51124,0.00002,,,,,,,,,,
Q15004,0.353341232,Q3B726,5.25E-05,,,Q92692-2,0.000162539,,,,,P17029,0.00002,,,,,,,,,,
Q13342-3,3.58E-06,Q9Y3P4,2.38E-05,,,P01574,0.000163324,,,,,P12829,0.00002,,,,,,,,,,
Q9UM22,3.59E-06,Q8N697,2.38E-05,,,Q9UPG8,0.000163689,,,,,P15104,0.0000201,,,,,,,,,,
Q12805,0.259822966,H0YNW1,2.38E-05,,,F8WDH1,0.000163868,,,,,P12814-3,0.0000201,,,,,,,,,,
P11309,3.60E-06,P15559,2.39E-05,,,K7EJH0,0.000164151,,,,,Q96KM6,0.0000201,,,,,,,,,,
Q9Y6R7,3.60E-06,Q53F23,1.99E-05,,,Q9HBG7,0.000164364,,,,,Q16891-4,0.0000202,,,,,,,,,,
Q96IZ0,3.61E-06,Q6IBW4,2.40E-05,,,Q8NB14,0.00016466,,,,,P61925,0.0000202,,,,,,,,,,
Q6ICB4,3.61E-06,O15523,2.40E-05,,,Q8TBM8,0.000165048,,,,,O15439,0.0000202,,,,,,,,,,
Q658P3-2,3.62E-06,K7ENL9,2.40E-05,,,P0CJ78,0.000165145,,,,,Q99640,0.0000202,,,,,,,,,,
P08697,0.340528255,Q9BYD5,2.40E-05,,,Q96KN1,0.000165286,,,,,Q9H2H9,0.0000202,,,,,,,,,,
P25106,3.65E-06,P30499,2.41E-05,,,Q07820,0.000166258,,,,,Q9BUV8,0.0000203,,,,,,,,,,
