gene	databases_count	databases_list
SPINK5	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SPP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SSC5D	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
STC2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
STIP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TCN2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TFF1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TFF3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TFPI	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TFRC	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TGFBI	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TGFBR3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
THBS2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
THBS4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
THY1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TIE1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TIMP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TNC	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TNFRSF1B	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TNXB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TPP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TXNDC5	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
TYMP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
UMOD	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VASN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VAT1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VCAM1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VCAN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VIM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VMO1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VSIG4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
VWF	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
A1BG	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
A2M	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ABI3BP	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACAA1	5	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb"
ACADS	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACE	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACE2	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
ACLY	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACO1	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACP1	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACTA2	5	"peptideatlas, hpa_ms, hpa_pea, gpmdb, quantms"
ACTN1	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACTR2	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ACTR3	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADA2	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
ADAM15	5	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb"
ADAM23	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
ADAMTS8	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
ADAMTSL1	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADAMTSL2	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADAMTSL4	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADGRG1	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
ADGRG2	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
ADH1A	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADH1B	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADH5	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
ADIPOQ	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
AFM	5	"peptideatlas, hpa_ms, gpmdb, paxdb, quantms"
AFP	5	"peptideatlas, hpa_ms, hpa_pea, paxdb, quantms"
