"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"TWF1",444414625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TWF1_PXD004352"
"TWF1",68381,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TWF1_PXD025174"
"TWF1",26.55620616,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TWF1_PXD040957"
"TWF2",6660494687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TWF2_PXD004352"
"TWF2",1581312,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TWF2_PXD025174"
"TWF2",31.2094623975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TWF2_PXD040957"
"TWISTNB",190861168.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TWISTNB_PXD004352"
"TWISTNB",6817,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TWISTNB_PXD025174"
"TWISTNB",25.8858977075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TWISTNB_PXD040957"
"TWSG1",14461775,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TWSG1_PXD004352"
"TXK",19433446.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXK_PXD004352"
"TXLNA",1204250937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXLNA_PXD004352"
"TXLNA",62755,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXLNA_PXD025174"
"TXLNA",27.1702186225,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXLNA_PXD040957"
"TXLNG",245926125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXLNG_PXD004352"
"TXLNG",25.7716176825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXLNG_PXD040957"
"TXN",10766935312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXN_PXD004352"
"TXN",6795741,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXN_PXD025174"
"TXN",29.7570921175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXN_PXD040957"
"TXN2",504891000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXN2_PXD004352"
"TXN2",160109,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXN2_PXD025174"
"TXN2",27.3998901375,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXN2_PXD040957"
"TXNDC11",64749303.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNDC11_PXD004352"
"TXNDC12",1081593125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNDC12_PXD004352"
"TXNDC12",326078,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXNDC12_PXD025174"
"TXNDC12",27.7982363975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNDC12_PXD040957"
"TXNDC15",67725343.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNDC15_PXD004352"
"TXNDC15",25.73039675,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNDC15_PXD040957"
"TXNDC17",1297614437.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNDC17_PXD004352"
"TXNDC17",580622,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXNDC17_PXD025174"
"TXNDC17",28.3616565025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNDC17_PXD040957"
"TXNDC5",2476268437.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNDC5_PXD004352"
"TXNDC5",27.30133511,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNDC5_PXD040957"
"TXNDC9",519855468.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNDC9_PXD004352"
"TXNDC9",28441,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXNDC9_PXD025174"
"TXNDC9",27.0873178625,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNDC9_PXD040957"
"TXNIP",148229006.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNIP_PXD004352"
"TXNIP",75268,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXNIP_PXD025174"
"TXNIP",24.94268197,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNIP_PXD040957"
"TXNL1",2030398125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNL1_PXD004352"
"TXNL1",28.851990175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNL1_PXD040957"
"TXNL4A",265141000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNL4A_PXD004352"
"TXNL4A",55634,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXNL4A_PXD025174"
"TXNL4A",26.1363455175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNL4A_PXD040957"
"TXNL4B",27571959.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNL4B_PXD004352"
"TXNL4B",22.7128472075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNL4B_PXD040957"
"TXNRD1",29.6114533075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNRD1_PXD040957"
"TXNRD2",666820031.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TXNRD2_PXD004352"
"TXNRD2",5309,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TXNRD2_PXD025174"
"TXNRD2",28.0739466975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TXNRD2_PXD040957"
"TYK2",277679468.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYK2_PXD004352"
"TYMP",1493577187.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYMP_PXD004352"
"TYMP",21.574554195,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TYMP_PXD040957"
"TYMS",777320434.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYMS_PXD004352"
"TYMS",26637,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TYMS_PXD025174"
"TYROBP",21501718.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYROBP_PXD004352"
"TYSND1",26523778.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYSND1_PXD004352"
"TYW1",152670621.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYW1_PXD004352"
"TYW3",3073065.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYW3_PXD004352"
"TYW5",25919159.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TYW5_PXD004352"
"U2AF1",5447740625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","U2AF1_PXD004352"
"U2AF1",30.74702905,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","U2AF1_PXD040957"
"U2AF2",6952495937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","U2AF2_PXD004352"
"U2AF2",663247,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","U2AF2_PXD025174"
"U2AF2",30.777990505,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","U2AF2_PXD040957"
"U2SURP",2909130000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","U2SURP_PXD004352"
"U2SURP",50058,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","U2SURP_PXD025174"
"U2SURP",29.948374665,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","U2SURP_PXD040957"
"UACA",72245206.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UACA_PXD004352"
"UAP1",275671562.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UAP1_PXD004352"
"UAP1",23.98989234,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UAP1_PXD040957"
"UAP1L1",195085343.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UAP1L1_PXD004352"
"UAP1L1",26945,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","UAP1L1_PXD025174"
"UAP1L1",25.2147664625,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UAP1L1_PXD040957"
"UBA1",28401265625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA1_PXD004352"
"UBA1",33.06558317,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBA1_PXD040957"
"UBA2",5891687812.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA2_PXD004352"
"UBA2",350543,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","UBA2_PXD025174"
"UBA2",30.998284515,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBA2_PXD040957"
"UBA3",1975709375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA3_PXD004352"
"UBA3",28.9368121425,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBA3_PXD040957"
"UBA5",1045690375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA5_PXD004352"
"UBA5",93063,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","UBA5_PXD025174"
"UBA5",27.9937538825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBA5_PXD040957"
"UBA52",2636556.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA52_PXD004352"
"UBA6",4733928750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA6_PXD004352"
"UBA6",30.191718615,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBA6_PXD040957"
"UBA7",1269532750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBA7_PXD004352"
"UBA7",109861,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","UBA7_PXD025174"
"UBA7",28.2544726575,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBA7_PXD040957"
"UBAC1",106708250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBAC1_PXD004352"
"UBAC1",24.668502485,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBAC1_PXD040957"
"UBAC2",173847437.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBAC2_PXD004352"
"UBAC2",24.9947230275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","UBAC2_PXD040957"
"UBALD2",395562.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","UBALD2_PXD004352"
