"Gene","Database","Category","CellType","Concentration","Dataset"
"AKNA","ProteomeXchange","CellType","CD8",997616875,"PXD004352,PXD025174,PXD040957"
"AKR1A1","ProteomeXchange","CellType","CD8",4983223125,"PXD004352,PXD040957"
"AKR1B1","ProteomeXchange","CellType","CD8",6764273437.5,"PXD004352,PXD025174,PXD040957"
"AKR1C1","ProteomeXchange","CellType","CD8",3317093.75,"PXD004352"
"AKR1C2","ProteomeXchange","CellType","CD8",26.290541455,"PXD040957"
"AKR1C3","ProteomeXchange","CellType","CD8",236471621.875,"PXD004352,PXD025174"
"AKR1D1","ProteomeXchange","CellType","CD8",19409434.375,"PXD004352"
"AKR7A2","ProteomeXchange","CellType","CD8",1642133593.75,"PXD004352,PXD040957"
"AKT1","ProteomeXchange","CellType","CD8",1215718125,"PXD004352,PXD025174,PXD040957"
"AKT1S1","ProteomeXchange","CellType","CD8",24977828.125,"PXD004352,PXD025174,PXD040957"
"AKT2","ProteomeXchange","CellType","CD8",358364906.25,"PXD004352,PXD025174,PXD040957"
"AKT3","ProteomeXchange","CellType","CD8",29497731.25,"PXD004352"
"AKTIP","ProteomeXchange","CellType","CD8",84471156.25,"PXD004352,PXD040957"
"ALAD","ProteomeXchange","CellType","CD8",964110062.5,"PXD004352,PXD025174,PXD040957"
"ALAS1","ProteomeXchange","CellType","CD8",35511249.53125,"PXD004352"
"ALB","ProteomeXchange","CellType","CD8",34.379035265,"PXD040957"
"ALCAM","ProteomeXchange","CellType","CD8",161659053.125,"PXD004352"
"ALDH16A1","ProteomeXchange","CellType","CD8",1541500593.75,"PXD004352,PXD025174,PXD040957"
"ALDH18A1","ProteomeXchange","CellType","CD8",4937029687.5,"PXD004352,PXD025174,PXD040957"
"ALDH1A1","ProteomeXchange","CellType","CD8",22659118.75,"PXD004352"
"ALDH1A2","ProteomeXchange","CellType","CD8",40465043.75,"PXD004352"
"ALDH1B1","ProteomeXchange","CellType","CD8",1108209000,"PXD004352,PXD025174,PXD040957"
"ALDH2","ProteomeXchange","CellType","CD8",303174687.5,"PXD004352"
"ALDH3A2","ProteomeXchange","CellType","CD8",803625062.5,"PXD004352,PXD040957"
"ALDH3B1","ProteomeXchange","CellType","CD8",7243647.1875,"PXD004352"
"ALDH4A1","ProteomeXchange","CellType","CD8",163541171.875,"PXD004352,PXD025174"
"ALDH5A1","ProteomeXchange","CellType","CD8",1093528718.75,"PXD004352,PXD040957"
"ALDH6A1","ProteomeXchange","CellType","CD8",2026422500,"PXD004352,PXD025174,PXD040957"
"ALDH7A1","ProteomeXchange","CellType","CD8",115127190.625,"PXD004352,PXD040957"
"ALDH8A1","ProteomeXchange","CellType","CD8",1288696.875,"PXD004352"
"ALDH9A1","ProteomeXchange","CellType","CD8",9097324375,"PXD004352,PXD025174,PXD040957"
"ALDOA","ProteomeXchange","CellType","CD8",55249915625,"PXD004352,PXD040957"
"ALDOB","ProteomeXchange","CellType","CD8",374187.5,"PXD004352"
"ALDOC","ProteomeXchange","CellType","CD8",9495333750,"PXD004352,PXD025174,PXD040957"
"ALG1","ProteomeXchange","CellType","CD8",316658375,"PXD004352,PXD025174,PXD040957"
"ALG11","ProteomeXchange","CellType","CD8",142157859.375,"PXD004352,PXD025174,PXD040957"
"ALG12","ProteomeXchange","CellType","CD8",89189725,"PXD004352,PXD040957"
"ALG13","ProteomeXchange","CellType","CD8",63662154.6875,"PXD004352,PXD040957"
"ALG2","ProteomeXchange","CellType","CD8",606595562.5,"PXD004352,PXD025174,PXD040957"
"ALG3","ProteomeXchange","CellType","CD8",11521725,"PXD004352,PXD025174,PXD040957"
"ALG5","ProteomeXchange","CellType","CD8",344930406.25,"PXD004352,PXD025174,PXD040957"
